Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,newestTeamColor,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox
46,69kkn2i96sg564fexcheqbo4p,486416,A. Gonzalez,Azriel Gonzalez,Centre Forward,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,224636,Azriel,Gonzalez,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Edmonton,22,1280,21,9,12,0,10,4,6,2,4,12,8,3,0,0,3,0,3,0,3,1,0,2,1,1,5,15,53,7,289,76,153,3.3,3,2,1.42,5,2,4,7,11,29,1,0,43,9,1,1,502,48,5,7,8,23,70.60%,2,2,48,5,1,4,4,1,16,9,2,0,0,0,0,0,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,8,15,228,50,224,23,25.60%,79.20%,130,89,10,116,155,18,20.00%,5,24.07,3,41,13,13,7,3,2.72,0.59,2.72,0.59,3.3,9,0,0.12,28,0.22,0.18,31.30%,10,434,386,20,386
46,622w13rktz2os2jlo286col3p,92693,M. Aparicio,Manuel Aparicio,Central Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,168505,Manuel,Aparicio,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Pacific,14,1023,27,1,4,0,4,2,2,0,5,7,5,2,0,0,1,0,2,0,2,2,0,2,0,0,0,9,122,27,554,166,239,1.57,2,2,2.27,2,3,0,11,11,26,0,0,60,13,0,0,739,79,6,17,11,38,46.90%,3,2,80,4,4,12,4,2,3,0,5,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,4,8,191,135,413,13,38.80%,73.10%,254,76,75,111,343,100,50.00%,30,7.57,2,19,16,16,15,7,1.27,0.3,1.27,0.3,1.57,9,0,0.1,16,0.37,0.36,36.00%,23,311,205,29,205
50,dy82dducntn2ulpq7qzclfw0l,117844,A. Sissoko,Abdoul Sissoko,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,55947,Abdoul,Sissoko,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,24,1989,32,3,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,82,32,715,359,242,0.06,0,1,1.03,0,1,2,8,10,16,0,0,98,10,1,0,923,93,15,20,20,95,71.40%,40,20,120,3,14,17,0,5,11,0,8,0,0,0,0,0,23,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,15,96,316,511,8,29.90%,84.10%,364,63,174,78,436,201,57.80%,64,25.18,0,1,70,70,23,2,0.06,0,0.06,0,0.06,9,8,0.03,2,0,0,36.00%,28,484,418,16,418
50,ezibxuzirgqnb5enkgvdk5ot1,147561,A. Riggi,Alessandro Riggi,Left Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,243864,Alessandro,Riggi,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Valour,20,870,28,10,10,1,7,5,2,2,1,4,3,1,0,0,0,0,3,0,3,0,0,1,1,2,2,8,54,15,296,79,148,2.7,3,1,1.13,5,2,0,10,10,30,6,2,51,15,3,1,477,59,11,9,6,33,58.80%,5,2,45,5,3,9,2,4,7,2,3,0,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,18,6,12,215,78,184,26,33.40%,76.70%,110,92,25,118,138,40,42.90%,7,14.46,2,18,22,22,11,0,2.7,0,2.7,0,2.7,9,0,0.19,14,0.11,0.07,36.90%,15,465,311,25,311
50,f1qvh9qszr743tj8zb3kcvaei,639420,M. de Brienne,Matteo de Brienne,Left Winger,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,437691,Matteo,de Brienne,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Winger,Valour,20,834,20,10,10,1,8,6,2,2,3,5,1,4,0,0,0,0,3,0,3,1,0,3,1,1,7,3,47,16,229,64,102,1.81,3,0,0.59,3,0,2,8,10,20,1,0,46,9,1,1,371,62,8,9,5,28,65.40%,4,1,33,7,0,6,1,0,6,3,5,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,5,157,50,164,27,24.00%,72.50%,90,59,17,89,113,27,34.20%,38,9.65,2,9,14,14,11,3,1.75,0.05,1.75,0.05,1.81,10,1,0.1,18,0.11,0,37.70%,17,467,331,19,331
50,9g6clvx09d2ou7dlk3rnnmdt6,573746,S. Fayia,Saah Fayia,Right Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,425683,Saah,Fayia,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Edmonton,20,1079,21,6,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,27,310,132,127,0.23,0,1,1.4,2,1,0,10,10,9,1,1,48,3,0,0,582,43,6,21,14,66,79.40%,23,8,56,5,2,6,7,3,4,4,2,0,0,0,0,0,22,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,158,190,234,14,37.40%,83.50%,130,71,58,76,149,85,22.20%,18,19.15,0,25,46,46,15,5,0.23,0,0.23,0,0.23,9,2,0.11,2,0.4,0.4,30.60%,13,425,391,4,391
50,2bwli6laejcfs9eb6euey2lbe,768079,G. Bitar,Gabriel Bitar,Central Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,483256,Gabriel,Bitar,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Edmonton,19,1663,24,0,6,0,13,3,10,3,5,11,8,3,0,0,1,0,1,3,4,0,0,0,0,4,1,23,100,21,425,129,175,2.56,4,1,0.67,2,1,1,9,10,80,9,2,120,40,3,2,758,116,17,29,16,71,68.70%,9,3,102,4,5,8,11,5,13,1,3,0,0,0,0,0,37,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,6,29,213,138,407,32,34.10%,71.50%,198,57,49,89,270,66,29.40%,17,31.15,1,2,39,39,27,5,2.32,0.24,2.32,0.24,2.56,9,3,0.08,32,0,0,30.90%,39,403,324,24,324
50,6z58yyouaevipxrmrmorcz0no,849654,I. Johnston,Isaiah Johnston,Centre Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,509124,Isaiah,Johnston,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,York United,18,1365,20,3,6,0,3,1,2,5,3,9,3,3,0,0,1,0,0,0,0,0,1,0,0,0,2,9,71,14,456,167,204,0.85,0,3,0.73,0,0,0,10,10,58,2,0,82,27,3,0,710,95,11,21,4,45,71.10%,8,2,104,11,1,15,1,3,14,5,6,0,0,0,0,0,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,8,20,212,106,392,25,26.80%,81.40%,242,85,44,107,290,59,35.70%,14,18.57,0,14,21,21,19,5,0.69,0.15,0.69,0.15,0.85,7,2,0.04,20,0.21,0.25,37.40%,37,367,288,21,288
50,4t92bvofxxvfqe6f2w9gs8t0p,299698,C. Bent,Cory Bent,Left Winger,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,200948,Cory,Bent,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Winger,HFX Wanderers,18,929,25,8,9,0,6,4,2,1,3,3,3,0,0,0,1,1,1,1,1,0,0,0,0,2,0,9,53,19,260,81,107,0.86,2,0,0.92,0,1,2,8,10,31,2,0,56,15,2,0,492,42,7,8,11,34,75.00%,8,3,53,4,2,3,4,5,11,15,3,0,0,0,0,0,15,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,9,184,107,201,22,35.80%,72.30%,96,56,36,81,129,50,60.00%,10,11.53,0,34,18,18,10,6,0.6,0.26,0.6,0.26,0.86,11,0,0.07,13,0.18,0.07,38.40%,16,477,308,23,308
50,b2fxe6y0xulg212cls9zrp6mt,282582,Miguel Acosta,Miguel Acosta,Right Back,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,484440,Miguel,Acosta,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Atlético Ottawa,25,1997,24,3,2,0,1,1,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,136,61,1058,568,293,0.82,1,2,0.77,1,2,2,8,10,11,0,0,118,7,2,1,1550,78,33,47,25,178,72.10%,66,33,123,4,5,10,3,7,9,0,8,0,0,0,0,0,23,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,5,160,715,675,13,44.90%,81.40%,469,42,350,59,552,447,38.70%,31,24.6,1,34,150,150,24,4,0.81,0.01,0.81,0.01,0.82,8,8,0.14,6,0.26,0.26,35.40%,15,497,414,22,414
50,7q6h161f7gcqnpy07x80hbpck,727492,W. Akio,William Akio,Right Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,538243,William,Akio,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Valour,13,1116,24,0,4,1,10,8,2,6,0,4,1,2,0,0,0,0,2,0,2,1,0,1,0,1,2,11,40,8,211,59,104,3.22,2,1,1.48,3,1,1,9,10,39,4,2,52,20,0,0,422,76,3,5,5,19,47.10%,6,3,42,6,2,3,4,4,7,5,3,0,0,0,0,0,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,4,14,215,56,151,50,29.40%,77.30%,79,63,21,91,94,26,28.60%,35,16.68,2,24,11,11,7,1,2.42,0.8,2.42,0.8,3.22,9,2,0.16,20,0.13,0.13,41.00%,11,286,177,21,177
59,dpee0p2qzqrzcefewdtey4vyt,37944,D. Fordyce,Daryl Fordyce,Defensive Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,31866,Daryl,Fordyce,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Valour,23,1689,35,6,3,0,5,1,4,1,2,5,2,1,0,0,0,0,1,0,0,0,1,0,1,0,2,7,124,43,840,345,328,1.27,1,2,0.59,0,2,0,9,9,7,0,0,83,5,2,1,1042,70,12,24,18,75,67.90%,21,10,101,4,4,20,2,6,13,0,4,0,0,0,0,0,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,7,126,234,682,11,41.70%,80.10%,487,67,119,81,604,155,51.20%,41,23.37,0,12,44,44,28,3,0.44,0.83,0.44,0.83,1.27,7,11,0.1,13,0.17,0.17,37.80%,33,487,345,32,345
59,7v7c25arh4yqd7tz8demrxa6t,263141,B. Levis,Brett Levis,Left Back,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,231573,Brett,Levis,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Valour,20,1746,29,0,2,1,7,5,2,3,3,10,1,3,0,0,0,0,1,1,2,0,1,1,1,1,11,4,104,49,905,392,360,1.52,2,1,1.11,2,0,1,8,9,55,1,0,160,29,0,0,1491,119,22,36,50,138,78.40%,26,15,151,4,12,20,11,9,21,0,8,0,0,0,0,0,17,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,2,26,351,375,765,28,38.10%,83.10%,455,145,152,168,531,206,64.00%,50,18.4,1,25,81,81,51,6,0.86,0.66,0.86,0.66,1.52,8,10,0.07,23,0.08,0.09,37.00%,48,426,302,22,302
59,6mmfo5q4m9zdbpl1cgqv5muhh,166464,K. Alemán,Keven Alemán,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,164958,Keven,Alemán,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,21,840,28,13,8,1,5,3,2,0,1,5,2,3,0,0,0,0,1,1,2,0,0,0,2,0,10,0,32,12,265,101,120,0.73,2,1,0.42,0,1,5,4,9,38,1,1,61,9,3,1,482,70,15,16,7,45,73.80%,6,3,56,4,5,7,2,4,12,1,3,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,14,157,108,217,19,21.90%,83.40%,117,69,35,78,141,46,33.30%,9,11.35,0,23,28,28,15,2,0.7,0.02,0.7,0.02,0.73,8,1,0.07,11,0.3,0.09,33.40%,12,416,368,15,368
59,4g57cr61ps0y0w29dv3f5s3c9,312950,M. Kacher,Mastanabal Kacher,Centre Forward,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,199133,Mastanabal,Kacher,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Edmonton,21,737,26,14,5,0,3,2,1,3,2,8,5,3,0,0,2,0,1,0,1,0,0,1,0,1,0,10,27,15,194,61,91,1.34,1,0,0.66,2,1,4,5,9,15,2,1,22,4,0,0,321,46,1,8,3,14,60.00%,2,1,33,4,0,6,1,1,4,0,1,0,0,0,0,0,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,13,147,42,132,16,29.90%,78.40%,79,60,13,70,102,22,33.30%,9,12.96,0,29,8,8,6,0,1.23,0.11,1.23,0.11,1.34,9,1,0.08,16,0.21,0.17,32.00%,8,506,437,9,437
59,77bwgkpu6tylbyfvuwdzoek15,231504,W. Ponce,Walter Ponce,Centre Forward,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,213087,Walter,Ponce,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Valour,18,996,24,7,8,0,5,2,3,7,1,13,2,8,0,0,0,0,1,0,0,0,4,0,0,1,3,11,73,7,292,80,132,2.49,1,1,1.19,1,2,2,7,9,19,3,1,80,5,0,0,475,93,7,12,2,27,70.40%,6,5,25,9,4,11,9,1,12,5,3,0,0,0,0,0,16,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,21,4,12,229,28,218,50,19.50%,72.60%,118,84,10,122,157,13,47.90%,71,12.82,0,12,9,9,10,8,2.16,0.33,2.16,0.33,2.49,8,1,0.1,26,0.08,0.08,36.40%,14,325,258,22,258
59,4oz12ku4mdjsq7y4sgogpwg2y,638716,K. Habibullah,Kamron Habibullah,Centre Attacking Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,445178,Kamron,Habibullah,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Pacific,13,513,18,7,6,0,3,1,2,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,13,5,173,65,90,0.54,0,1,1.29,1,2,3,6,9,28,3,2,42,14,0,0,291,39,6,6,2,15,57.10%,1,0,32,1,0,5,1,2,13,1,3,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,11,97,42,152,16,19.70%,89.60%,89,46,20,52,97,24,0.00%,2,8.41,0,7,5,5,9,1,0.34,0.2,0.34,0.2,0.54,8,0,0.08,7,0.29,0.2,34.00%,7,307,234,6,234
59,3176i3h6iv1ufsp88prhhmjqi,317634,E. Simmons,Elliot Simmons,Defensive Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,209693,Elliot,Simmons,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Cavalry,22,1502,24,6,5,0,1,0,1,1,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,41,653,279,245,0.41,0,1,0.54,0,0,0,9,9,8,0,0,75,6,2,0,841,72,16,32,22,88,68.60%,18,8,112,1,3,16,2,0,3,0,5,0,0,0,0,0,23,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,12,144,203,494,4,32.90%,80.20%,342,80,102,98,421,134,50.00%,32,17.86,0,3,46,46,34,8,0.2,0.21,0.2,0.21,0.41,9,2,0.03,14,0.33,0,36.00%,37,394,326,16,326
59,882vd5rnobx3xba2sb99k49gp,563931,A. Hojabrpour,Alessandro Hojabrpour,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,421823,Alessandro,Hojabrpour,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,23,1823,22,2,9,0,2,1,1,1,0,7,2,4,0,0,0,0,1,1,1,1,3,1,0,1,1,4,107,28,1108,469,504,1.33,2,1,0.59,4,1,0,9,9,20,0,0,75,9,2,0,1317,76,19,19,21,79,69.10%,18,9,125,3,0,12,2,2,14,1,7,0,0,0,0,0,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,13,205,256,856,15,26.60%,87.80%,682,128,163,159,765,184,33.30%,30,15.61,1,4,42,42,29,8,0.96,0.37,0.96,0.37,1.33,8,4,0.13,10,0.25,0,43.80%,49,392,282,31,282
59,3cvvvbt2g0ftb9p3i39a3ea6s,584640,S. Triantafillou,Simon Triantafillou,Central Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,479757,Simon,Triantafillou,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Edmonton,24,1686,23,6,7,0,1,0,1,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94,45,684,318,227,0.25,0,0,0.33,0,0,0,9,9,12,0,0,63,7,1,1,891,70,19,14,21,76,61.10%,22,6,97,1,7,6,0,4,9,0,1,0,1,0,0,0,37,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0,12,103,226,562,3,30.60%,79.70%,387,57,101,70,473,141,34.50%,29,31.19,0,6,48,48,25,3,0.14,0.1,0.14,0.1,0.25,9,1,0.03,9,0.17,0.17,30.50%,34,474,421,7,421
68,g2i7tap1jusx5t2mnbfbns2d,227945,C. Trafford,Charlie Trafford,Defensive Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,169366,Charlie,Trafford,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Defensive Midfielder,Cavalry,23,1535,30,3,15,0,3,2,1,1,1,8,1,2,0,0,0,0,0,0,0,0,5,2,0,0,0,4,84,43,806,373,306,0.84,0,0,0.38,1,0,1,7,8,11,3,0,149,4,1,0,1081,109,22,37,22,99,65.60%,17,12,113,14,5,21,9,8,24,0,6,0,0,0,0,0,21,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,12,208,231,642,25,32.00%,84.20%,448,106,125,123,522,161,69.20%,65,19.58,0,11,45,45,43,11,0.23,0.61,0.23,0.61,0.84,8,4,0.06,13,0.27,0.27,36.00%,40,380,307,21,307
68,6ptroe7b9vgzimcvzo2fehcr9,166455,M. Petrasso,Michael Petrasso,Central Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,167890,Michael,Petrasso,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,York United,11,273,27,8,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,4,90,9,58,0.16,0,0,0.73,0,3,3,5,8,14,2,0,13,5,1,1,160,15,1,2,0,5,50.00%,2,1,9,0,0,2,1,0,4,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,83,11,66,8,36.70%,74.40%,35,30,2,39,46,5,-,0,4.17,0,18,2,2,2,1,0.16,0,0.16,0,0.16,8,0,0.05,3,0.22,0.2,34.00%,6,221,173,9,173
68,7lqj7hx4na2kvl5doan797vmx,560429,D. Zator,Dominick Zator,Right Centre Back,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,,250776,Dominick,Zator,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,York United,26,2326,28,0,1,0,3,2,1,1,0,12,1,0,0,0,0,0,1,0,0,0,6,0,0,1,3,6,133,86,1364,841,304,1.12,1,1,1.2,1,2,4,4,8,7,0,0,103,2,0,0,1684,43,17,25,28,160,87.50%,87,37,135,4,3,7,0,7,5,0,7,0,0,0,0,0,33,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,2,4,88,942,654,23,36.90%,83.90%,506,24,615,37,593,734,75.00%,64,32.17,0,5,134,134,23,3,0,1.12,0,1.12,1.12,7,25,0.07,16,0.4,0.4,36.90%,19,497,414,19,414
68,c8svt3yazcfaq478j0cpbmbfu,770573,K. Yao,Karifa Yao,Right Centre Back,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,427386,Karifa,Yao,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Cavalry,22,1928,22,0,2,0,2,2,0,2,0,6,1,0,0,0,0,0,1,0,0,1,4,2,0,0,1,1,111,43,1245,859,232,0.78,1,2,0.83,0,1,3,5,8,2,0,0,107,2,0,0,1465,58,19,25,28,125,80.00%,50,31,99,2,12,10,0,6,1,0,7,0,2,0,0,0,26,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,4,35,809,621,23,28.90%,87.60%,494,10,587,18,579,648,73.00%,74,23.76,0,0,101,101,24,0,0,0.78,0,0.78,0.78,6,16,0.08,10,-,-,36.60%,4,346,281,20,281
68,cu34wwcs8ozsglt7gew3p7sh5,559237,T. Mohammed,Terique Mohammed,Left Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,421817,Terique,Mohammed,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Edmonton,20,617,22,15,4,0,1,0,1,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,38,23,216,74,81,0.32,0,0,0.47,0,1,2,6,8,20,0,0,54,7,0,0,457,48,17,13,19,63,81.10%,13,3,52,2,5,4,4,1,7,1,0,0,1,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,8,13,116,148,193,11,47.20%,71.80%,81,37,37,46,105,65,38.50%,13,11.77,0,23,42,42,15,6,0.32,0,0.32,0,0.32,8,0,0.05,6,0.3,0.29,32.70%,8,463,389,13,389
68,ccezbk51pdo61agdtdcxrd9wq,799859,K. Poku,Kwasi Poku,Left Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,496171,Kwasi,Poku,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Forge,16,884,19,8,2,0,2,2,0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,61,27,439,137,214,0.7,0,0,0.41,2,1,0,8,8,51,1,1,65,24,0,0,749,64,7,12,8,40,79.20%,12,8,49,5,6,4,2,4,5,5,2,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,4,14,267,163,319,24,36.20%,80.00%,186,110,55,127,227,85,68.80%,16,7.64,0,28,26,26,6,8,0.24,0.46,0.24,0.46,0.7,8,4,0.09,8,0.18,0.19,44.00%,11,245,195,18,195
68,c8d4kyelee6gyrnupxkeh6has,582207,N. Jensen,Noah Jensen,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,569908,Noah,Jensen,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,20,673,23,14,5,0,3,2,1,2,4,6,4,1,0,0,0,0,2,1,3,0,1,0,0,3,2,6,53,9,347,99,186,1.04,3,1,1.01,1,2,1,7,8,23,0,0,34,9,3,1,495,30,5,6,2,19,68.80%,6,2,37,1,0,3,6,3,4,1,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,217,52,226,16,24.80%,82.10%,172,93,20,117,203,27,20.00%,5,5.55,1,36,9,9,5,5,0.61,0.43,0.61,0.43,1.04,7,1,0.07,15,0.06,0.08,43.50%,16,407,289,21,289
